recordtype,id,type,dc.identifier,dc.language,dc.source,isVersionOf,hasVersion,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
CATALOG,omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-matrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATASET,omg_dataset:codelijst-matrix,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-matrix,nl,NA,NA,NA,Dataset codelijst matrix,"Deze dataset bevat een lijst van matrixtypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-matrix,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst matrix,omg_conceptscheme:matrix,Codelijst matrix,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-matrix.html,frequency:IRREG,omg_periodoftime:dataset_omg,NA,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DATASET,omg_dataset:codelijst-matrix,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-matrix,nl,NA,omg_dataset:codelijst-matrix,NA,Dataset codelijst matrix,"Deze dataset bevat een lijst van matrixtypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-matrix,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst matrix,omg_conceptscheme:matrix,Codelijst matrix,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-matrix.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-matrix.matrix.csv|omg_distribution:codelijst-matrix.matrix.jsonld|omg_distribution:codelijst-matrix.matrix.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-matrix,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-matrix.matrix.csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix.matrix.csv,NA,NA,NA,NA,NA,"Codelijst matrix, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-matrix.matrix.csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst matrix in text/csv formaat.,NA,"Codelijst matrix, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-matrix.matrix.csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-matrix.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix.matrix.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-matrix.matrix.jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix.matrix.jsonld,NA,NA,NA,NA,NA,"Codelijst matrix, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-matrix.matrix.jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst matrix in jsonld rdf-formaat.,NA,"Codelijst matrix, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-matrix.matrix.jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-matrix.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix.matrix.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-matrix.matrix.ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix.matrix.ttl,NA,NA,NA,NA,NA,"Codelijst matrix, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-matrix.matrix.ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst matrix in Turtle rdf-formaat.,NA,"Codelijst matrix, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-matrix.matrix.ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-matrix.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix.matrix.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
VERSIE-PACKAGE,omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-matrix,spdx:Package|dcat:Distribution,be.vlaanderen.omgeving.data.id.graph.codelijst-matrix,NA,NA,NA,NA,NA,"Codelijst matrix, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-matrix,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst matrix in jar-formaat.,NA,Package codelijst-matrix,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
