"id","type","dc.identifier","dc.language","dc.source","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"omg_catalog:codelijst","dcat:Catalog","","","","","","","","","","","","","","","","","","","omg_dataset:codelijst-matrix","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-matrix","dcat:Dataset","","","","omg_dataset:codelijst-matrix.1.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-matrix.1.1.1","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-matrix.1.1.1","nl","","","Codelijst matrix Dataset","Deze dataset bevat een lijst van matrices, media, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-matrix.1.1.1","2023-02-17","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Thesaurus chemische stoffen","omg_conceptscheme:matrix","Dataset Codelijst matrix","1.1.1","omg_vcard:helpdesk","","access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html","","https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-matrix.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-matrix_csv.1.1.1|omg_distribution:codelijst-matrix_jsonld.1.1.1|omg_distribution:codelijst-matrix_ttl.1.1.1|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-matrix.1.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087","","","","","","","","",""
"omg_distribution:codelijst-matrix_csv.1.1.1","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix_csv.1.1.1","","","","","Codelijst matrix, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-matrix_csv.1.1.1","2023-02-17","","","","ovo:OVO003751","","Codelijst matrix in text/csv formaat.","","Codelijst matrix, in text/csv formaat.","1.1.1","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-matrix_csv.html","","","","","file_type:CSV","https://github.com/milieuinfo/codelijst-matrix.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-matrix/codelijst-matrix-1.1.1/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/matrix/matrix.csv","https://www.iana.org/assignments/media-types/text/csv","","","",""
"omg_distribution:codelijst-matrix_jsonld.1.1.1","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix_jsonld.1.1.1","","","","","Codelijst matrix, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-matrix_jsonld.1.1.1","2023-02-17","","","","ovo:OVO003751","","Codelijst matrix in jsonld rdf-formaat.","","Codelijst matrix, in jsonld rdf-formaat.","1.1.1","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-matrix_jsonld.html","","","","","file_type:JSON_LD","https://github.com/milieuinfo/codelijst-matrix.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-matrix/codelijst-matrix-1.1.1/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/matrix/matrix.jsonld","https://www.iana.org/assignments/media-types/application/ld+json","","","",""
"omg_distribution:codelijst-matrix_ttl.1.1.1","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-matrix_ttl.1.1.1","","","","","Codelijst matrix, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-matrix_ttl.1.1.1","2023-02-17","","","","ovo:OVO003751","","Codelijst matrix in Turtle rdf-formaat.","","Codelijst matrix, in Turtle rdf-formaat.","1.1.1","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-matrix_ttl.html","","","","","file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-matrix.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-matrix/codelijst-matrix-1.1.1/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/matrix/matrix.ttl","https://www.iana.org/assignments/media-types/text/turtle","","","",""
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-matrix.1.1.1","spdx:Package|dcat:Distribution","be.vlaanderen.omgeving.data.id.graph.codelijst-matrix.1.1.1","","","","","Codelijst matrix, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-matrix.1.1.1","2023-02-17","","","","ovo:OVO003751","","Codelijst matrix in jar-formaat.","","Package codelijst-matrix","1.1.1","","","access_right:PUBLIC","","","","","","","","file_type:JAR","","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-matrix/1.1.1/codelijst-matrix-1.1.1.jar","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-matrix/1.1.1/codelijst-matrix-1.1.1.jar","codelijst-matrix-1.1.1.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-matrix","1.1.1"
